TestName,SchemaName,EncryptionAlgo,TestSize,DatabaseSize,Time
RunFinds,NotEncrypted,Deterministic,100,57994,7.7791373
RunUpdates,EncryptedWithEnclaves,Deterministic,100,57994,7.8109818
RunUpdates,Encrypted,Deterministic,100,57994,7.7260495
RunUpdates,NotEncrypted,Deterministic,100,57994,7.445705
RunDeletes,EncryptedWithEnclaves,Deterministic,100,57994,22.7977294
RunDeletes,Encrypted,Deterministic,100,57994,23.177609
RunDeletes,NotEncrypted,Deterministic,100,57994,21.3127729
RunCreates,EncryptedWithEnclaves,Deterministic,100,62927,3.8006181
RunCreates,Encrypted,Deterministic,100,62927,3.7639339
RunCreates,NotEncrypted,Deterministic,100,62927,3.743731
RunFinds,EncryptedWithEnclaves,Deterministic,100,62927,8.0059432
RunFinds,Encrypted,Deterministic,100,62927,8.4981601
RunFinds,NotEncrypted,Deterministic,100,62927,8.4987711
RunUpdates,EncryptedWithEnclaves,Deterministic,100,62927,8.3397089
RunUpdates,Encrypted,Deterministic,100,62927,8.1572128
RunUpdates,NotEncrypted,Deterministic,100,62927,8.5046874
RunDeletes,EncryptedWithEnclaves,Deterministic,100,62927,24.6068722
RunDeletes,Encrypted,Deterministic,100,62927,24.5239877
RunDeletes,NotEncrypted,Deterministic,100,62927,23.4996162
RunCreates,EncryptedWithEnclaves,Deterministic,100,65506,3.8061414
RunCreates,Encrypted,Deterministic,100,65506,3.6883337
RunCreates,NotEncrypted,Deterministic,100,65506,3.7776096
RunFinds,EncryptedWithEnclaves,Deterministic,100,65506,8.62014
RunFinds,Encrypted,Deterministic,100,65506,8.7858053
RunFinds,NotEncrypted,Deterministic,100,65506,8.7315579
RunUpdates,EncryptedWithEnclaves,Deterministic,100,65506,8.465517
RunUpdates,Encrypted,Deterministic,100,65506,8.5148731
RunUpdates,NotEncrypted,Deterministic,100,65506,8.4688702
RunDeletes,EncryptedWithEnclaves,Deterministic,100,65506,25.4477954
RunDeletes,Encrypted,Deterministic,100,65506,25.5175855
RunDeletes,NotEncrypted,Deterministic,100,65506,23.1998862
RunCreates,EncryptedWithEnclaves,Deterministic,100,68426,3.8103598
RunCreates,Encrypted,Deterministic,100,68426,3.875865
RunCreates,NotEncrypted,Deterministic,100,68426,3.7206024
RunFinds,EncryptedWithEnclaves,Deterministic,100,68426,8.5296362
RunFinds,Encrypted,Deterministic,100,68426,9.0300459
RunFinds,NotEncrypted,Deterministic,100,68426,9.2523773
RunUpdates,EncryptedWithEnclaves,Deterministic,100,68426,9.2165718
RunUpdates,Encrypted,Deterministic,100,68426,8.9533633
RunUpdates,NotEncrypted,Deterministic,100,68426,8.6710405
RunDeletes,EncryptedWithEnclaves,Deterministic,100,68426,25.7095268
RunDeletes,Encrypted,Deterministic,100,68426,25.9186213
RunDeletes,NotEncrypted,Deterministic,100,68426,24.9857927
RunFinds,EncryptedWithEnclaves,Deterministic,100,72080,9.0947246
RunFinds,Encrypted,Deterministic,100,72080,9.7183646
RunFinds,NotEncrypted,Deterministic,100,72080,9.9573154
RunUpdates,EncryptedWithEnclaves,Deterministic,100,72080,9.7156236
RunUpdates,Encrypted,Deterministic,100,72080,9.3784144
RunUpdates,NotEncrypted,Deterministic,100,72080,9.3899067
RunDeletes,EncryptedWithEnclaves,Deterministic,100,72080,27.8338162
RunDeletes,Encrypted,Deterministic,100,72080,28.4078923
RunDeletes,NotEncrypted,Deterministic,100,72080,26.2740614
RunCreates,EncryptedWithEnclaves,Deterministic,100,77375,3.7640783
RunCreates,Encrypted,Deterministic,100,77375,3.7627116
RunCreates,NotEncrypted,Deterministic,100,77375,3.7480805
RunFinds,EncryptedWithEnclaves,Deterministic,100,77375,10.3498508
RunFinds,Encrypted,Deterministic,100,77375,10.2507979
RunFinds,NotEncrypted,Deterministic,100,77375,10.2459136
RunUpdates,EncryptedWithEnclaves,Deterministic,100,77375,10.2269629
RunUpdates,Encrypted,Deterministic,100,77375,10.1070252
RunUpdates,NotEncrypted,Deterministic,100,77375,10.0297574
RunDeletes,EncryptedWithEnclaves,Deterministic,100,77375,30.8896077
RunDeletes,Encrypted,Deterministic,100,77375,30.5742186
RunDeletes,NotEncrypted,Deterministic,100,77375,27.9991297
RunCreates,EncryptedWithEnclaves,Randomized,100,1142,3.7674552
RunCreates,Encrypted,Randomized,100,1142,3.7848514
RunCreates,NotEncrypted,Randomized,100,1142,3.7988919
RunFinds,EncryptedWithEnclaves,Randomized,100,1142,3.2236131
RunFinds,Encrypted,Randomized,100,1142,0.4741579
RunFinds,NotEncrypted,Randomized,100,1142,2.4758127
RunUpdates,EncryptedWithEnclaves,Randomized,100,1142,3.4704073
RunUpdates,Encrypted,Randomized,100,1142,3.5924748
RunUpdates,NotEncrypted,Randomized,100,1142,3.1870191
RunDeletes,EncryptedWithEnclaves,Randomized,100,1142,4.5774515
RunDeletes,Encrypted,Randomized,100,1142,4.3814878
RunDeletes,NotEncrypted,Randomized,100,1142,3.9549487
FindWhereDOB,EncryptedWithEnclaves,Randomized,0,1142,0.0946002
FindWhereDOB,Encrypted,Randomized,0,1142,0.4048442
FindWhereDOB,NotEncrypted,Randomized,0,1142,0.0353959
RunCreates,EncryptedWithEnclaves,Randomized,100,2820,3.8700568
RunCreates,Encrypted,Randomized,100,2820,3.9238919
RunCreates,NotEncrypted,Randomized,100,2820,3.8215417
RunFinds,EncryptedWithEnclaves,Randomized,100,2820,4.3431916
RunFinds,Encrypted,Randomized,100,2820,1.4977233
RunFinds,NotEncrypted,Randomized,100,2820,2.5724384
RunUpdates,EncryptedWithEnclaves,Randomized,100,2820,4.8511884
RunUpdates,Encrypted,Randomized,100,2820,6.5291124
RunUpdates,NotEncrypted,Randomized,100,2820,4.4400757
RunDeletes,EncryptedWithEnclaves,Randomized,100,2820,9.019653
RunDeletes,Encrypted,Randomized,100,2820,10.9566959
RunDeletes,NotEncrypted,Randomized,100,2820,7.3789117
FindWhereDOB,EncryptedWithEnclaves,Randomized,0,2820,0.2119771
FindWhereDOB,Encrypted,Randomized,0,2820,1.8434547
FindWhereDOB,NotEncrypted,Randomized,0,2820,0.0383
RunCreates,EncryptedWithEnclaves,Randomized,100,4390,3.7520267
RunCreates,Encrypted,Randomized,100,4390,3.7866714
RunCreates,NotEncrypted,Randomized,100,4390,3.8200811
RunFinds,EncryptedWithEnclaves,Randomized,100,4390,7.3852855
RunFinds,Encrypted,Randomized,100,4390,3.7261631
RunFinds,NotEncrypted,Randomized,100,4390,2.578453
RunUpdates,EncryptedWithEnclaves,Randomized,100,4390,5.5295291
RunUpdates,Encrypted,Randomized,100,4390,6.6770978
RunUpdates,NotEncrypted,Randomized,100,4390,4.5699587
RunDeletes,EncryptedWithEnclaves,Randomized,100,4390,12.6513995
RunDeletes,Encrypted,Randomized,100,4390,7.8731063
RunDeletes,NotEncrypted,Randomized,100,4390,4.3320666
FindWhereDOB,EncryptedWithEnclaves,Randomized,0,4390,0.452847
FindWhereDOB,Encrypted,Randomized,0,4390,3.5248472
FindWhereDOB,NotEncrypted,Randomized,0,4390,0.03899
RunCreates,EncryptedWithEnclaves,Randomized,100,7905,3.7522722
RunCreates,Encrypted,Randomized,100,7905,3.7388335
RunCreates,NotEncrypted,Randomized,100,7905,3.9121994
RunFinds,EncryptedWithEnclaves,Randomized,100,7905,12.6615921
RunFinds,Encrypted,Randomized,100,7905,8.9318457
RunFinds,NotEncrypted,Randomized,100,7905,2.677981
RunUpdates,EncryptedWithEnclaves,Randomized,100,7905,10.1213677
RunUpdates,Encrypted,Randomized,100,7905,12.0691516
RunUpdates,NotEncrypted,Randomized,100,7905,3.3701686
RunDeletes,EncryptedWithEnclaves,Randomized,100,7905,21.4746697
RunDeletes,Encrypted,Randomized,100,7905,13.4628764
RunDeletes,NotEncrypted,Randomized,100,7905,4.6835146
FindWhereDOB,EncryptedWithEnclaves,Randomized,0,7905,1.2969989
FindWhereDOB,Encrypted,Randomized,0,7905,18.6284813
FindWhereDOB,NotEncrypted,Randomized,0,7905,0.0405947
RunCreates,EncryptedWithEnclaves,Randomized,100,9496,3.8237409
RunCreates,Encrypted,Randomized,100,9496,3.9389884
RunCreates,NotEncrypted,Randomized,100,9496,3.807457
RunFinds,EncryptedWithEnclaves,Randomized,100,9496,15.3559372
RunFinds,Encrypted,Randomized,100,9496,19.2314285
RunFinds,NotEncrypted,Randomized,100,9496,2.7976823
RunUpdates,EncryptedWithEnclaves,Randomized,100,9496,12.0137174
RunUpdates,Encrypted,Randomized,100,9496,21.7947393
RunUpdates,NotEncrypted,Randomized,100,9496,3.3357165
RunDeletes,EncryptedWithEnclaves,Randomized,100,9496,25.5163208
RunDeletes,Encrypted,Randomized,100,9496,23.1396488
RunDeletes,NotEncrypted,Randomized,100,9496,4.4777613
FindWhereDOB,EncryptedWithEnclaves,Randomized,0,9496,1.5566615
FindWhereDOB,Encrypted,Randomized,0,9496,19.0087375
FindWhereDOB,NotEncrypted,Randomized,0,9496,0.0406473
RunCreates,EncryptedWithEnclaves,Randomized,100,11545,3.817069
RunCreates,Encrypted,Randomized,100,11545,3.777639
RunCreates,NotEncrypted,Randomized,100,11545,3.7186037
RunFinds,EncryptedWithEnclaves,Randomized,100,11545,18.5615435
RunFinds,Encrypted,Randomized,100,11545,35.9408171
RunFinds,NotEncrypted,Randomized,100,11545,3.174466
RunUpdates,EncryptedWithEnclaves,Randomized,100,11545,14.4710452
RunUpdates,Encrypted,Randomized,100,11545,39.2445465
RunUpdates,NotEncrypted,Randomized,100,11545,3.438679
RunDeletes,EncryptedWithEnclaves,Randomized,100,11545,29.8556389
RunDeletes,Encrypted,Randomized,100,11545,40.4931551
RunDeletes,NotEncrypted,Randomized,100,11545,4.8731901
FindWhereDOB,EncryptedWithEnclaves,Randomized,0,11545,1.9513967
FindWhereDOB,Encrypted,Randomized,0,11545,36.5526597
FindWhereDOB,NotEncrypted,Randomized,0,11545,0.0441914
RunCreates,EncryptedWithEnclaves,Randomized,100,13968,3.9157031
RunCreates,Encrypted,Randomized,100,13968,3.9668204
RunCreates,NotEncrypted,Randomized,100,13968,3.8722592
RunFinds,EncryptedWithEnclaves,Randomized,100,13968,22.5897765
RunFinds,Encrypted,Randomized,100,13968,66.5463421
RunFinds,NotEncrypted,Randomized,100,13968,2.8576106
RunUpdates,EncryptedWithEnclaves,Randomized,100,13968,17.6084779
RunUpdates,Encrypted,Randomized,100,13968,65.5404792
RunUpdates,NotEncrypted,Randomized,100,13968,3.4653607
RunDeletes,EncryptedWithEnclaves,Randomized,100,13968,37.8319185
RunDeletes,Encrypted,Randomized,100,13968,68.0837212
RunDeletes,NotEncrypted,Randomized,100,13968,4.9997023
FindWhereDOB,EncryptedWithEnclaves,Randomized,0,13968,2.3507572
FindWhereDOB,Encrypted,Randomized,0,13968,62.3394117
FindWhereDOB,NotEncrypted,Randomized,0,13968,0.1310357
RunCreates,EncryptedWithEnclaves,Randomized,100,14174,3.8138488
RunCreates,Encrypted,Randomized,100,14174,3.7961727
RunCreates,NotEncrypted,Randomized,100,14174,3.7506967
RunFinds,EncryptedWithEnclaves,Randomized,100,14174,22.8114747
RunFinds,Encrypted,Randomized,100,14174,97.1926781
RunFinds,NotEncrypted,Randomized,100,14174,2.8547639
RunUpdates,EncryptedWithEnclaves,Randomized,100,14174,18.1514803
RunUpdates,Encrypted,Randomized,100,14174,100.2132388
RunUpdates,NotEncrypted,Randomized,100,14174,3.4981639
